country,confederation,fifa_rank,fifa_rank_tier,fifa_points,elo_rating,squad_value_total_m,coach,coach_tenure_days,coach_success_rate,avg_player_age,players_top5_leagues,top_scorer_goals,squad_depth_score,avg_goals_scored_last10,avg_goals_conceded_last10,win_rate_last5,win_rate_last10,win_rate_last20,draw_rate_last10,home_win_rate_last20,away_win_rate_last20,clean_sheet_rate,avg_opponent_elo_last10,xg_difference,unbeaten_streak,world_cup_appearances,world_cup_titles,continental_titles,qualified_for_wc2026
Austria,UEFA,24,2,1759.54,1987,1059.9,Ralf Rangnick,1179,0.65,26.7,21,14,7.8,2.4,1.31,0.79,0.68,0.64,0.09,0.79,0.57,0.51,1733,1.23,19,7,0,0,1
South Korea,AFC,25,2,1786.29,1947,1055.3,Hong Myung-bo,365,0.52,28.7,23,20,9.0,2.41,0.83,0.84,0.8,0.77,0.11,0.93,0.78,0.54,1704,1.18,19,11,0,2,1
Nigeria,CAF,26,2,1776.36,1925,1011.6,Eric Chelle,365,0.5,24.6,19,20,9.5,1.89,0.89,0.94,0.7,0.72,0.04,0.76,0.64,0.44,1700,1.09,19,7,0,3,1
Poland,UEFA,26,2,1800.59,1972,1139.6,Coach_Pola,413,0.69,25.8,17,14,7.8,2.66,0.98,0.73,0.6,0.62,0.05,0.74,0.46,0.54,1756,0.94,21,9,0,0,0
Australia,AFC,27,2,1766.14,1965,1108.3,Tony Popovic,370,0.48,25.8,24,20,8.3,2.38,1.25,0.65,0.69,0.75,0.18,0.79,0.62,0.59,1693,0.85,18,6,0,4,1
Algeria,CAF,28,2,1752.43,1916,1096.7,Vladimir Petkovic,853,0.55,25.9,24,12,8.4,2.45,0.98,0.6,0.63,0.62,0.07,0.73,0.48,0.55,1746,1.12,21,4,0,2,1
Egypt,CAF,29,2,1742.0,1988,1014.1,Hossam Hassan,430,0.5,26.1,20,15,8.1,2.45,1.03,0.6,0.68,0.72,0.11,0.81,0.58,0.48,1736,1.07,15,3,0,7,1
Canada,CONCACAF,30,2,1727.82,1941,923.9,Jesse Marsch,822,0.58,26.6,19,19,9.5,1.95,0.82,0.69,0.72,0.68,0.14,0.85,0.75,0.45,1657,1.07,24,3,0,0,1
Norway,UEFA,31,2,1699.43,1934,1190.8,Stale Solbakken,1461,0.58,24.9,19,16,8.4,2.05,1.14,0.73,0.79,0.84,0.13,0.84,0.66,0.53,1741,1.1,14,4,0,0,1
Ukraine,UEFA,32,2,1723.49,1898,1023.0,Serhiy Rebrov,748,0.5,25.1,22,15,7.9,2.25,1.32,0.74,0.78,0.78,0.13,0.89,0.65,0.52,1667,0.9,23,4,0,0,1
Panama,CONCACAF,33,2,1687.46,1860,1151.5,Thomas Christiansen,730,0.47,28.7,20,12,8.4,2.15,1.17,0.76,0.71,0.65,0.11,0.84,0.74,0.51,1674,0.94,20,2,0,3,1
Ivory Coast,CAF,34,2,1713.7,1939,957.2,Emerse Fae,547,0.55,25.4,21,16,8.6,2.4,0.9,0.86,0.81,0.81,0.11,0.86,0.71,0.49,1675,1.35,18,3,0,3,1
Saudi Arabia,AFC,34,2,1667.42,1910,945.5,Herve Renard,2009,0.48,28.1,21,20,7.9,2.18,1.11,0.89,0.77,0.76,0.14,0.76,0.68,0.45,1671,0.94,13,6,0,3,1
Peru,CONMEBOL,35,2,1661.87,1909,925.1,Jorge Fossati,487,0.42,24.1,23,17,8.1,2.39,1.52,0.67,0.63,0.65,0.17,0.71,0.59,0.52,1755,0.83,17,8,0,2,0
Czech Republic,UEFA,36,3,1674.71,1909,1113.5,Miroslav Koubek,547,0.5,26.0,20,17,8.3,2.17,0.96,0.56,0.79,0.75,0.02,0.83,0.69,0.55,1669,0.71,18,9,0,0,1
Sweden,UEFA,37,3,1694.6,1862,873.2,Jon Dahl Tomasson,1113,0.57,26.9,20,17,8.4,2.3,1.07,0.65,0.77,0.71,0.08,0.9,0.66,0.44,1674,1.17,11,12,0,1,1
Scotland,UEFA,38,3,1641.16,1856,1092.2,Steve Clarke,1979,0.52,26.6,22,14,7.7,2.39,1.09,0.77,0.74,0.75,0.13,0.88,0.7,0.4,1553,1.13,22,8,0,0,1
Cameroon,CAF,39,3,1642.1,1828,954.6,Marc Brys,636,0.47,27.2,24,17,8.2,2.23,0.95,0.85,0.65,0.72,0.13,0.81,0.5,0.53,1708,0.99,22,8,0,5,1
Serbia,UEFA,40,3,1664.29,1878,997.3,Dragan Stojkovic,1523,0.5,26.7,17,16,8.0,2.58,1.39,0.65,0.62,0.67,0.22,0.71,0.54,0.43,1691,0.89,14,3,0,0,1
Ghana,CAF,41,3,1644.32,1853,1097.0,Otto Addo,1260,0.43,27.2,20,16,8.3,2.23,1.02,0.56,0.69,0.71,0.08,0.8,0.49,0.47,1721,1.1,21,4,0,0,0
South Africa,CAF,42,3,1638.32,1828,822.3,Hugo Broos,1461,0.48,26.7,21,18,8.9,2.19,1.21,0.67,0.69,0.67,0.07,0.8,0.57,0.44,1680,0.76,18,3,0,3,1
Bolivia,CONMEBOL,43,3,1634.92,1814,870.6,Oscar Villegas,487,0.38,27.7,18,11,7.1,2.22,1.4,0.43,0.7,0.72,0.14,0.88,0.54,0.45,1618,0.64,17,3,0,0,0
Qatar,AFC,44,3,1648.08,1873,876.5,Carlos Queiroz,730,0.48,28.1,20,19,8.1,2.8,1.34,0.63,0.7,0.74,0.16,0.77,0.58,0.51,1658,0.89,18,2,0,1,1
Slovakia,UEFA,44,3,1628.44,1841,731.3,Coach_Slov,736,0.61,25.1,20,15,7.7,2.16,1.09,0.75,0.75,0.76,0.07,0.78,0.7,0.47,1552,0.4,17,2,0,0,0
Bosnia-Herzegovina,UEFA,45,3,1610.78,1822,896.9,Sergej Barbarez,547,0.47,26.6,22,13,7.4,2.44,1.13,0.36,0.61,0.54,0.15,0.65,0.49,0.45,1655,0.74,21,1,0,0,1
Romania,UEFA,46,3,1613.72,1831,879.2,Coach_Roma,978,0.71,26.2,21,19,9.2,2.47,1.02,0.47,0.6,0.58,0.09,0.72,0.5,0.43,1612,0.64,15,7,0,0,0
New Zealand,OFC,46,3,1594.97,1798,934.5,Darren Bazeley,669,0.45,25.0,20,15,8.0,2.58,1.17,0.67,0.8,0.8,0.11,0.83,0.66,0.48,1680,0.66,20,2,0,4,1
Cape Verde,CAF,47,3,1620.36,1842,931.1,Bubista,1826,0.52,27.6,16,14,7.5,2.17,1.56,0.67,0.69,0.71,0.11,0.77,0.6,0.46,1671,1.04,22,1,0,0,1
Curacao,CONCACAF,48,3,1597.48,1816,775.8,Dick Advocaat,547,0.42,26.3,21,17,8.1,2.4,1.29,0.7,0.74,0.75,0.17,0.67,0.65,0.28,1548,0.87,19,1,0,1,1
Greece,UEFA,48,3,1636.14,1842,840.6,Coach_Gree,448,0.6,24.7,19,13,7.9,2.21,1.3,0.61,0.57,0.52,0.1,0.71,0.43,0.49,1642,0.47,16,3,0,1,0
Hungary,UEFA,48,3,1570.98,1787,996.9,Coach_Hung,414,0.76,26.4,20,18,8.1,2.18,0.99,0.58,0.61,0.58,0.14,0.76,0.52,0.45,1637,0.82,19,9,0,0,0
Haiti,CONCACAF,49,3,1566.29,1772,965.2,Sebastien Migne,547,0.42,26.0,16,16,8.2,2.31,1.32,0.63,0.57,0.51,0.16,0.68,0.46,0.43,1687,1.09,22,1,0,4,1
Chile,CONMEBOL,50,3,1600.33,1785,892.1,Coach_Chil,764,0.65,26.5,21,15,7.5,2.16,1.32,0.71,0.64,0.63,0.18,0.78,0.57,0.39,1715,0.64,12,9,0,2,0
Jordan,AFC,50,3,1557.86,1765,866.2,Jamal Sellami,547,0.43,26.1,18,16,8.1,2.27,0.88,0.65,0.69,0.6,0.17,0.78,0.6,0.51,1701,0.79,15,1,0,1,1
Tunisia,CAF,51,3,1577.78,1769,854.1,Faouzi Benzarti,365,0.48,27.3,18,16,8.3,2.28,1.29,0.52,0.6,0.57,0.2,0.66,0.54,0.4,1657,0.46,16,6,0,1,1
Venezuela,CONMEBOL,52,3,1563.4,1827,730.1,Fernando Batista,1187,0.45,27.7,19,15,7.9,2.4,1.2,0.81,0.7,0.67,0.14,0.79,0.55,0.47,1709,0.7,16,0,0,0,0
Paraguay,CONMEBOL,53,3,1533.75,1761,705.6,Daniel Garnero,970,0.43,25.6,19,17,9.5,2.17,1.27,0.66,0.62,0.62,0.22,0.72,0.51,0.38,1541,0.85,16,8,0,2,1
Uzbekistan,AFC,54,3,1535.46,1759,898.0,Srecko Katanec,1387,0.45,26.6,17,17,8.7,2.34,1.51,0.75,0.69,0.71,0.2,0.81,0.53,0.48,1548,0.52,20,1,0,1,1
Slovenia,UEFA,54,3,1556.38,1746,738.5,Coach_Slov,218,0.64,26.7,17,15,8.1,2.35,1.13,0.87,0.7,0.68,0.23,0.85,0.61,0.42,1523,0.66,12,2,0,0,0
DR Congo,CAF,55,3,1534.18,1705,750.8,Sebastien Desabre,913,0.47,26.2,17,17,7.6,2.12,1.3,0.75,0.75,0.82,0.16,0.7,0.54,0.41,1620,0.83,18,1,0,2,1
Mali,CAF,55,3,1558.75,1736,854.2,Coach_Mali,160,0.71,26.3,19,19,8.6,2.05,1.41,0.62,0.63,0.61,0.12,0.81,0.53,0.56,1624,1.07,17,0,0,0,0
Iraq,AFC,56,3,1524.04,1766,901.3,Graham Arnold,365,0.45,26.6,20,15,7.3,2.1,1.59,0.45,0.7,0.64,0.16,0.72,0.59,0.43,1533,0.45,14,2,0,4,1
Costa Rica,CONCACAF,57,3,1549.94,1716,762.2,Coach_Cost,553,0.68,25.1,16,10,7.6,2.21,1.22,0.59,0.57,0.56,0.14,0.7,0.51,0.4,1604,0.88,17,6,0,0,0
Finland,UEFA,58,3,1533.13,1762,738.4,Coach_Finl,634,0.59,25.8,20,14,8.6,2.09,1.49,0.57,0.61,0.61,0.21,0.69,0.47,0.47,1645,0.77,21,0,0,0,0
Burkina Faso,CAF,59,3,1525.43,1705,727.1,Coach_Burk,678,0.68,26.4,16,11,6.7,2.27,1.36,0.29,0.52,0.51,0.16,0.6,0.56,0.36,1585,1.0,17,0,0,1,0
Wales,UEFA,62,3,1511.33,1691,802.0,Coach_Wale,375,0.62,25.9,21,14,7.2,1.67,1.54,0.72,0.71,0.72,0.05,0.72,0.62,0.52,1642,0.62,14,1,0,0,0
Guinea,CAF,63,3,1487.76,1694,791.2,Coach_Guin,767,0.58,27.2,15,14,7.5,1.91,1.22,0.54,0.58,0.54,0.16,0.69,0.42,0.46,1528,0.45,14,0,0,0,0
Albania,UEFA,65,3,1469.65,1690,889.4,Coach_Alba,493,0.63,25.1,20,12,6.9,2.04,1.61,0.65,0.62,0.56,0.09,0.7,0.57,0.32,1527,0.74,16,0,0,0,0
Ireland,UEFA,66,4,1447.66,1623,763.4,Coach_Irel,786,0.53,25.8,15,12,7.2,2.12,1.4,0.22,0.47,0.43,0.2,0.63,0.21,0.4,1518,0.71,13,2,0,0,0
Iceland,UEFA,67,4,1455.53,1654,699.7,Coach_Icel,435,0.6,26.1,19,10,7.7,1.77,1.69,0.71,0.59,0.63,0.19,0.59,0.55,0.43,1491,0.51,16,2,0,0,0
UAE,AFC,68,4,1427.03,1644,822.8,Coach_UAE,700,0.59,26.2,14,14,6.1,2.4,1.27,0.65,0.66,0.73,0.18,0.82,0.53,0.42,1576,0.57,13,1,0,0,0
Montenegro,UEFA,71,4,1426.68,1637,729.2,Coach_Mont,962,0.66,23.8,16,13,6.0,1.74,1.56,0.52,0.61,0.58,0.24,0.79,0.49,0.42,1463,0.88,16,0,0,0,0
Zambia,CAF,72,4,1432.9,1633,686.6,Coach_Zamb,689,0.49,26.4,21,13,7.0,1.56,1.21,0.65,0.63,0.6,0.22,0.8,0.52,0.3,1493,-0.15,14,0,0,1,0
Honduras,CONCACAF,73,4,1376.28,1633,619.1,Coach_Hond,945,0.65,26.7,17,12,7.3,2.07,1.42,0.51,0.57,0.52,0.19,0.6,0.37,0.43,1659,0.75,10,3,0,0,0
Bulgaria,UEFA,74,4,1401.23,1652,719.6,Coach_Bulg,734,0.73,26.2,15,14,7.1,2.32,1.59,0.48,0.55,0.59,0.13,0.63,0.44,0.42,1485,0.5,20,7,0,0,0
El Salvador,CONCACAF,75,4,1399.24,1635,649.3,Coach_ElS,578,0.49,26.6,14,13,5.9,1.75,1.34,0.4,0.62,0.61,0.23,0.68,0.44,0.41,1528,0.18,13,3,0,0,0
North Macedonia,UEFA,76,4,1375.29,1609,578.5,Coach_Nort,881,0.57,26.2,15,11,7.2,1.88,1.65,0.56,0.6,0.69,0.21,0.6,0.59,0.46,1503,0.89,17,1,0,0,0
Uganda,CAF,77,4,1359.53,1563,677.2,Coach_Ugan,754,0.51,26.4,16,13,6.7,1.87,1.75,0.26,0.48,0.49,0.12,0.64,0.38,0.41,1508,0.36,9,1,0,0,0
Northern Ireland,UEFA,78,4,1380.81,1582,645.1,Coach_Nort,491,0.6,27.7,16,11,7.2,1.99,1.53,0.55,0.64,0.61,0.22,0.63,0.56,0.38,1519,-0.28,10,3,0,0,0
Zimbabwe,CAF,79,4,1352.32,1564,722.9,Coach_Zimb,885,0.57,24.5,17,13,6.8,2.21,1.42,0.71,0.64,0.57,0.13,0.67,0.64,0.37,1586,0.41,14,1,0,0,0
Jamaica,CONCACAF,80,4,1367.38,1580,637.2,Coach_Jama,723,0.52,26.4,16,11,6.9,1.93,1.08,0.63,0.51,0.39,0.21,0.56,0.48,0.36,1456,0.11,17,1,0,0,0
Bahrain,AFC,82,4,1331.25,1516,640.4,Coach_Bahr,676,0.56,24.9,17,13,6.1,1.63,1.53,0.66,0.54,0.51,0.11,0.67,0.42,0.38,1522,0.51,12,0,0,0,0
Tanzania,CAF,83,4,1349.79,1539,513.7,Coach_Tanz,325,0.6,26.8,12,11,6.1,1.69,1.51,0.61,0.53,0.56,0.12,0.61,0.42,0.38,1481,0.05,11,0,0,0,0
Guatemala,CONCACAF,84,4,1283.03,1562,614.8,Coach_Guat,216,0.54,25.5,17,13,5.4,2.02,1.41,0.69,0.53,0.53,0.15,0.55,0.4,0.33,1453,0.31,10,0,0,0,0
Oman,AFC,85,4,1281.69,1499,578.9,Coach_Oman,200,0.59,26.0,20,8,6.5,1.81,1.24,0.49,0.47,0.55,0.17,0.53,0.4,0.42,1510,0.15,6,0,0,0,0
Angola,CAF,87,4,1301.51,1538,524.9,Coach_Ango,317,0.57,26.4,15,14,5.3,1.72,1.42,0.66,0.61,0.51,0.2,0.74,0.43,0.36,1506,0.51,12,1,0,0,0
China,AFC,88,4,1261.19,1496,645.2,Coach_Chin,166,0.55,25.7,15,11,7.2,1.87,1.55,0.52,0.58,0.59,0.13,0.64,0.54,0.32,1475,0.1,11,1,0,0,0
Kuwait,AFC,90,4,1283.44,1490,519.2,Coach_Kuwa,585,0.53,25.9,16,9,6.8,2.07,1.92,0.45,0.44,0.4,0.17,0.5,0.35,0.35,1498,0.21,12,1,0,0,0
Trinidad & Tobago,CONCACAF,96,4,1186.94,1440,441.0,Coach_Trin,339,0.5,25.6,18,11,6.1,1.7,1.6,0.48,0.39,0.34,0.17,0.46,0.26,0.34,1448,0.07,11,1,0,0,0
Thailand,AFC,97,4,1212.68,1438,501.5,Coach_Thai,425,0.54,26.8,13,10,5.9,1.65,1.8,0.48,0.38,0.3,0.23,0.35,0.31,0.33,1489,0.02,14,0,0,0,0
Kenya,CAF,98,4,1168.75,1454,473.2,Coach_Keny,422,0.47,25.1,13,9,6.1,1.68,2.09,0.43,0.54,0.54,0.23,0.7,0.53,0.26,1459,0.41,13,0,0,0,0
India,AFC,101,4,1207.88,1425,592.0,Coach_Indi,1184,0.48,26.5,11,9,5.3,1.58,1.62,0.5,0.42,0.38,0.16,0.68,0.3,0.33,1395,0.44,15,1,0,0,0
Vietnam,AFC,103,4,1178.2,1367,503.1,Coach_Viet,236,0.6,27.1,13,5,5.0,1.78,1.58,0.57,0.54,0.58,0.28,0.53,0.45,0.33,1443,-0.37,10,0,0,0,0
Ethiopia,CAF,104,4,1168.75,1384,467.7,Coach_Ethi,630,0.51,26.4,13,9,5.9,1.63,1.74,0.75,0.69,0.69,0.13,0.83,0.67,0.32,1518,-0.49,16,1,0,0,0
Malaysia,AFC,131,5,976.31,1201,315.2,Coach_Mala,60,0.5,27.5,11,6,4.8,1.12,2.14,0.52,0.45,0.45,0.33,0.47,0.38,0.27,1371,-0.29,8,0,0,0,0
Fiji,OFC,163,5,702.5,964,162.1,Coach_Fiji,525,0.37,27.1,5,4,3.1,1.06,2.21,0.42,0.4,0.46,0.23,0.52,0.32,0.14,1261,-0.82,3,0,0,0,0
Papua New Guinea,OFC,179,5,588.59,840,82.9,Coach_Papu,324,0.29,26.8,5,4,3.0,0.81,2.72,0.19,0.24,0.33,0.34,0.3,0.11,0.14,1220,-1.28,7,0,0,0,0
